Target,As,Cd,Co,Cr,Cs-134,Cs-137,Cu,Fe,K-40,Mn,Ni,Pb,Ra-226,Ra-228,Sr-85,Th-232,U-238,Zn,Zn-65
As,1.0,-0.6679647008939482,-0.6316181036839278,-0.24341357219200538,,,0.39114528108235275,0.038178430915878185,,-0.1397841305174795,-0.5970611805327518,-0.7754216460322682,,,,,,-0.2547964773409727,
Cd,-0.6679647008939482,1.0,0.6097771673861629,0.192677951408566,,,0.4965419778283969,-0.6029857533896088,,0.31703301438041803,0.20627269339349022,0.4870290872608363,,,,,,0.4511437513094859,
Co,-0.6316181036839278,0.6097771673861629,1.0,0.34068774790815154,,,0.0040884044621748,0.7056999772416729,,0.5393450617439215,0.8856566090646987,0.8087314984118751,,,,,,0.5995096658092458,
Cr,-0.24341357219200538,0.192677951408566,0.34068774790815154,1.0,,,0.613124230649449,0.7665641124694533,,0.46721659742257615,0.5527638488436297,0.724324434629258,,,,,,0.45919515529271027,
Cs-134,,,,,1.0,,,,,,,,,,0.9768133404148855,,,,-0.39142227942254465
Cs-137,,,,,,1.0,,,0.7424299245146184,,,,,,,,,,
Cu,0.39114528108235275,0.4965419778283969,0.0040884044621748,0.613124230649449,,,1.0,0.7247290187723248,,0.35295258143306046,0.39436400658355175,0.4876448420383071,,,,,,0.4215841894657376,
Fe,0.038178430915878185,-0.6029857533896088,0.7056999772416729,0.7665641124694533,,,0.7247290187723248,1.0,,0.4894341459317415,0.6834386843844559,0.7041914448086578,,,,,,0.5337371324897598,
K-40,,,,,,0.7424299245146184,,,1.0,,,,-0.1435091144949921,-0.15076364140812432,,-0.14960486502799808,0.5548815672046622,,
Mn,-0.1397841305174795,0.31703301438041803,0.5393450617439215,0.46721659742257615,,,0.35295258143306046,0.4894341459317415,,1.0,0.7059249049974129,0.5423443420166898,,,,,,0.5607952783455247,
Ni,-0.5970611805327518,0.20627269339349022,0.8856566090646987,0.5527638488436297,,,0.39436400658355175,0.6834386843844559,,0.7059249049974129,1.0,0.7646723357207279,,,,,,0.798064265233056,
Pb,-0.7754216460322682,0.4870290872608363,0.8087314984118751,0.724324434629258,,,0.4876448420383071,0.7041914448086578,,0.5423443420166898,0.7646723357207279,1.0,,,,,,0.6597779818495586,
Ra-226,,,,,,,,,-0.1435091144949921,,,,1.0,-0.059253533247783645,,0.7523452388408584,0.793456041429566,,
Ra-228,,,,,,,,,-0.15076364140812432,,,,-0.059253533247783645,1.0,,,,,
Sr-85,,,,,0.9768133404148855,,,,,,,,,,1.0,,,,-0.5793570280830336
Th-232,,,,,,,,,-0.14960486502799808,,,,0.7523452388408584,,,1.0,0.8560357993640387,,
U-238,,,,,,,,,0.5548815672046622,,,,0.793456041429566,,,0.8560357993640387,1.0,,
Zn,-0.2547964773409727,0.4511437513094859,0.5995096658092458,0.45919515529271027,,,0.4215841894657376,0.5337371324897598,,0.5607952783455247,0.798064265233056,0.6597779818495586,,,,,,1.0,
Zn-65,,,,,-0.39142227942254465,,,,,,,,,,-0.5793570280830336,,,,1.0
