,As,Cd,Co,Cr,Cs-134,Cs-137,Cu,Fe,K-40,Mn,Ni,Pb,Ra-226,Ra-228,Sr-85,Th-232,U-238,Zn,Zn-65
As,19.0,9.0,18.0,16.0,0.0,0.0,16.0,15.0,0.0,15.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Cd,9.0,24.0,13.0,21.0,0.0,0.0,16.0,6.0,0.0,16.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
Co,18.0,13.0,23.0,20.0,0.0,0.0,20.0,15.0,0.0,19.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
Cr,16.0,21.0,20.0,44.0,0.0,0.0,38.0,27.0,0.0,37.0,33.0,32.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
Cs-134,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Cs-137,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cu,16.0,16.0,20.0,38.0,0.0,0.0,40.0,27.0,0.0,39.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
Fe,15.0,6.0,15.0,27.0,0.0,0.0,27.0,31.0,0.0,26.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
K-40,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,147.0,0.0,0.0,0.0,44.0,10.0,0.0,73.0,42.0,0.0,0.0
Mn,15.0,16.0,19.0,37.0,0.0,0.0,39.0,26.0,0.0,39.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
Ni,10.0,12.0,14.0,33.0,0.0,0.0,29.0,21.0,0.0,28.0,33.0,28.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
Pb,6.0,15.0,10.0,32.0,0.0,0.0,29.0,17.0,0.0,29.0,28.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
Ra-226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,44.0,10.0,0.0,34.0,22.0,0.0,0.0
Ra-228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
Sr-85,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
Th-232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,34.0,0.0,0.0,73.0,42.0,0.0,0.0
U-238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,22.0,0.0,0.0,42.0,42.0,0.0,0.0
Zn,17.0,21.0,21.0,43.0,0.0,0.0,40.0,28.0,0.0,39.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
Zn-65,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
