Target,As,Cd,Co,Cr,Cs-134,Cs-137,Cu,Fe,K-40,Mn,Ni,Pb,Ra-226,Ra-228,Sr-85,Th-232,U-238,Zn,Zn-65
As,1.0,-0.6666666666666666,-0.47574143212971315,-0.13569321533923304,,,0.09137806460512264,-0.017601316943720826,,0.017921146953405017,-0.731720919982925,-0.5428571428571428,,,,,,-0.13742341632990931,
Cd,-0.6666666666666666,1.0,0.7162561613790812,0.23254304571703674,,,0.4385578817904189,-0.39466488146729556,,0.3829164682931409,0.5034965034965035,0.4807866084260348,,,,,,0.5885027916749589,
Co,-0.47574143212971315,0.7162561613790812,1.0,0.5685145697522487,,,-0.0015100090470953071,0.7043840801303258,,0.19039314932330065,0.8998905335417405,0.8145934285312865,,,,,,0.38785853739167153,
Cr,-0.13569321533923304,0.23254304571703674,0.5685145697522487,1.0,,,0.5380783119761363,0.5488611120058242,,0.4088050343248687,0.7561240936770396,0.8055937948126647,,,,,,0.5006798838624658,
Cs-134,,,,,1.0,,,,,,,,,,1.0,,,,-0.5
Cs-137,,,,,,1.0,,,0.5898112119082058,,,,,,,,,,
Cu,0.09137806460512264,0.4385578817904189,-0.0015100090470953071,0.5380783119761363,,,1.0,0.6228812194251314,,0.3825466140982596,0.4008626031668351,0.5510355029585798,,,,,,0.5019707229310651,
Fe,-0.017601316943720826,-0.39466488146729556,0.7043840801303258,0.5488611120058242,,,0.6228812194251314,1.0,,0.42537630888838845,0.6845270485358307,0.6731264470967416,,,,,,0.4405362776239295,
K-40,,,,,,0.5898112119082058,,,1.0,,,,-0.038296071750507824,-0.38701359735786717,,-0.06481195590694953,0.6142390142631362,,
Mn,0.017921146953405017,0.3829164682931409,0.19039314932330065,0.4088050343248687,,,0.3825466140982596,0.42537630888838845,,1.0,0.602218272111582,0.4855170750551173,,,,,,0.576876376728206,
Ni,-0.731720919982925,0.5034965034965035,0.8998905335417405,0.7561240936770396,,,0.4008626031668351,0.6845270485358307,,0.602218272111582,1.0,0.8256642325592201,,,,,,0.6954195921096623,
Pb,-0.5428571428571428,0.4807866084260348,0.8145934285312865,0.8055937948126647,,,0.5510355029585798,0.6731264470967416,,0.4855170750551173,0.8256642325592201,1.0,,,,,,0.636150843519305,
Ra-226,,,,,,,,,-0.038296071750507824,,,,1.0,-0.40559025003104476,,0.7941267928580865,0.8928470812030844,,
Ra-228,,,,,,,,,-0.38701359735786717,,,,-0.40559025003104476,1.0,,,,,
Sr-85,,,,,1.0,,,,,,,,,,1.0,,,,-0.5
Th-232,,,,,,,,,-0.06481195590694953,,,,0.7941267928580865,,,1.0,0.8297424949330842,,
U-238,,,,,,,,,0.6142390142631362,,,,0.8928470812030844,,,0.8297424949330842,1.0,,
Zn,-0.13742341632990931,0.5885027916749589,0.38785853739167153,0.5006798838624658,,,0.5019707229310651,0.4405362776239295,,0.576876376728206,0.6954195921096623,0.636150843519305,,,,,,1.0,
Zn-65,,,,,-0.5,,,,,,,,,,-0.5,,,,1.0
