Target,Param,Pearson_r,Spearman_r,N
Cs-137,pH,0.40326209830928766,0.2607707557758821,224
Cs-137,OM,0.16763242424298144,0.20251008867488482,164
Cs-137,Clay,0.00940745560840368,0.051727939471018385,116
Cs-137,CEC,-0.5167506352937007,-0.46482888362473385,140
Sr-90,pH,0.14139582364881947,0.5630980338436248,48
Sr-90,OM,-0.623515963631591,-0.34771877631702863,32
Sr-90,Clay,,,24
Sr-90,CEC,-0.30821598075365925,-0.28761479993891953,27
Ra-226,pH,0.23453849834985793,0.23730629960646543,59
Ra-226,OM,0.08999772110213293,-0.349719176986722,67
Ra-226,Clay,0.17546327896347447,0.10559613383209979,48
Ra-226,CEC,-0.19354899311542545,-0.15059171013845973,55
K-40,pH,-0.036250177830104785,-0.023197912322647465,147
K-40,OM,0.026595013956253077,0.08076011290616322,165
K-40,Clay,-0.1704884431150727,-0.24852315219855337,135
K-40,CEC,0.1297373203497176,0.1410422351460931,143
