Target,Param,r,p,N
Cs-137,pH,0.40326209830928766,3.6108124825977675e-10,224
Cs-137,OM,0.16763242424298144,0.03191062990711292,164
Cs-137,Clay,0.00940745560840368,0.9201646422942793,116
Cs-137,CEC,-0.5167506352937007,6.319635585811401e-11,140
Sr-90,pH,0.14139582364881947,0.337748091367633,48
Sr-90,OM,-0.623515963631591,0.00013761110635196428,32
Sr-90,Clay,,,24
Sr-90,CEC,-0.30821598075365925,0.11779152248501376,27
Ra-226,pH,0.23453849834985793,0.07377438174244423,59
Ra-226,OM,0.08999772110213293,0.46889904781439545,67
Ra-226,Clay,0.17546327896347447,0.23291541462877824,48
Ra-226,CEC,-0.19354899311542545,0.15681751969662477,55
K-40,pH,-0.036250177830104785,0.6629083163473776,147
K-40,OM,0.026595013956253077,0.7345479270119277,165
K-40,Clay,-0.1704884431150727,0.04804445529470872,135
K-40,CEC,0.1297373203497176,0.12250334596156635,143
