,PC1,PC2,PC3,PC4,PC5,PC6
As,-0.3502436024507443,-0.33477246483338796,-0.028462709550377167,0.025091391472869564,0.5114479482312736,-0.31823679673542526
Cd,-0.017874040370437622,0.0858867056434924,-0.01287950040955137,0.2553322923849853,-0.21659838468000103,0.5204778194767843
Co,0.168379107774444,0.2732639596039519,-0.08619828262293892,0.21908151776770335,-0.0017846254402971624,-0.0758798299258086
Cr,0.13821353483685522,0.011021470555417003,0.18943799632611197,-0.002796286915640536,-0.05558754444648476,-0.36985673761563753
Cs-137,-0.08257887209083002,0.09971974239527527,0.7419517541857756,0.20832523985387613,-0.08215506288935023,-0.05914142456972247
Cu,0.04854438044332484,0.023097077399360885,0.19464166114689752,0.3241655624347555,0.047224227987965016,-0.18507943590109777
Fe,0.024859210512100896,0.3041896928165468,-0.18693087804286285,-0.11274967623453051,0.15876431848039213,-0.3505870913367268
K-40,0.11787132963455578,-0.15176104350881406,-0.24695328568577168,0.8003421932323106,-0.0352861284594273,-0.16589702483625568
Mn,0.28727970741149206,0.0057231080665911425,0.011492478017399282,-0.044497092833072995,0.49068816450577835,0.2696287619378132
Mo,-0.03542656064721568,0.23878645696586903,0.2873253246477161,-0.0003931387039274153,0.2747958738843838,0.019859029047417702
Ni,0.15832613792027717,0.40230020067205097,-0.12780703015407527,-0.0010789630243232034,0.009226966224850457,-0.04957920914521627
Pb,0.30085787159026306,0.181944273288016,-0.07091611679733036,0.009712129419546982,0.0640336536543506,-0.203596541680515
Ra-226,0.17391975441747018,-0.11906160078378546,0.2813223246459927,-0.11127100371246251,-0.3058175202639875,-0.27668962112463036
Ra-228,0.052406959777291234,-0.04680922634452632,0.06634068551240138,-0.03113619611785355,0.07879499018368886,0.0886909096257058
Sr,-0.3687995446582217,-0.1474058768792102,0.0010243203208894869,-0.021069449159862016,-0.2576680182554856,0.052884021227568495
Th-232,0.4218617728620759,-0.3768727840758102,-0.040668181284414344,-0.23350491060283435,-0.20877134483004187,-0.14408008297627284
U-238,0.3712690258657961,-0.3959196520566907,0.21475067898705458,0.08247292864985514,0.29964207609514604,0.2382137822467384
V,-0.3473642635412359,-0.07677496470642085,-0.01041731370853243,0.0682867127765919,0.12211406097179922,-0.07197705326650951
Zn,-0.03198479872168629,0.29144450947569084,0.18953606654568478,-0.05068353001446599,0.13453837959835857,0.10090575959868894
