Model,Scope,R2,RMSE
Neural Network,Global,0.3531940211552783,0.786713617739254
Neural Network,Alkali,0.28767320829849297,0.7579670212360887
Neural Network,Metals,0.282067407677834,0.8091065052815416
Neural Network,Actinides,0.06857422112686795,0.8007520682934699
Ridge Regression,Global,0.009357917040922814,0.9842495261692318
Ridge Regression,Alkali,-0.07014043570657025,0.9480939218975244
Ridge Regression,Metals,-0.027238861166649198,0.9678311111116249
Ridge Regression,Actinides,-0.5631763999980224,1.037356272045839
Random Forest,Global,0.24315259894519559,0.8603021134705229
Random Forest,Alkali,0.2925368994127069,0.7708730658299202
Random Forest,Metals,0.21027951329067684,0.8485951794555762
Random Forest,Actinides,-0.3456128647666563,0.962462921657949
