Record,Element,Radionuclide,Common name,Latin name,Compartment,CR,Uncert._CR,N_CR,Min_CR,Max_CR,C_plant,Uncert._C_plant,N_plant,C_soil,Uncert._C_soil,N_soil,Country,Site,K-G class,Contamination,Experiment,Year,Growth stage,Dry fraction,Preparation,Soil depth,Texture,Sand,Silt,Clay,OM,Exch. K,Exch. Ca,Exch. Mg,CEC,pH,QC meas.,QC sampl.,QC equip.,Reference
1,Cr,,Potato,Solanum tuberosum,Tubers,3.60E-02,,,,,1.60E+00,2.10E-01,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
2,Co,,Potato,Solanum tuberosum,Tubers,1.70E-02,,,,,4.20E-01,4.60E-01,,2.40E+01,4.50E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
3,Ni,,Potato,Solanum tuberosum,Tubers,3.70E-02,,,,,7.70E-01,2.60E-01,,2.50E+01,4.20E+00,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
4,Cu,,Potato,Solanum tuberosum,Tubers,2.50E-01,,,,,4.60E+00,2.10E-01,,3.40E+01,1.10E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
5,Pb,,Potato,Solanum tuberosum,Tubers,1.60E-02,,,,,4.00E+00,4.60E+00,,1.40E+03,1.10E+03,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
6,Cd,,Potato,Solanum tuberosum,Tubers,1.30E-01,,,,,1.40E-01,1.30E-01,,8.60E-01,2.80E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
7,Zn,,Potato,Solanum tuberosum,Tubers,8.00E-02,,,,,1.40E+01,1.00E+01,,1.80E+02,9.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
8,Mn,,Potato,Solanum tuberosum,Tubers,6.50E-02,,,,,3.60E+01,2.30E+01,,1.10E+03,2.20E+02,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
9,Mo,,Potato,Solanum tuberosum,Tubers,1.20E-01,,,,,1.10E-01,1.20E-01,,8.90E-01,1.50E-01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
10,Cr,,Potato,Solanum tuberosum,Leaves,6.60E-02,,,,,2.10E+00,5.50E-01,,4.90E+01,1.50E+01,,Nigeria,"Enyigba, Ebonyi State",Aw,SI,F,2013,,,Washed,0-15,,,,,,,,,,,1,1,1,1
